Group	Sub-Group / Table of Content in section of journeybook	Question	Default	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option 7	Option 8	Option 9	Option 10	Option 11	Option 12	Option 13	Option 14	Option 15	Option 16	Option 17	Option 18	Option 19	Option 20	Option 21	Option 22	Option 23	Option 24	Option 25	Option 26	Option 27	Option 28	Option 29	
COMPATIBILITY	Hobbies	Photography	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	Pottery	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	Sculpting	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	Sewing	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	Singing	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	SoapMaking	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	Tattoos	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	ModelMaking	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	JewelryMaking	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	MakingMusic	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Alternative	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Americana	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	BlueGrass	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Blues	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Classical	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Country	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Eighties	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Electronica	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	EMO	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Folk	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Funk	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	HeavyMetal	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	HipHop	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Industrial	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Jazz	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	NewAge	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	NewWave	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Nineties	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Oldies	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Opera	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Operetta	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Pop	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Punk	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	RNB	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Music	Rap	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	Reggae	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	Rock	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	Seventies	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	Soca	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	Salsa	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	Cuban50s	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	BigBand	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	Banghra	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	Gospel	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	BoysChoir	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Music	Bollywood	NULL	No Opinion	Love it	Like it	Curious about	Beginner	Want to Try																								
COMPATIBILITY	Sports	AutoRacing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
